cost_pH,cost_OM,cost_P,cost_K,budget,oracle_subset,oracle_loss,greedy_subset,greedy_loss,regret
1.0,0.5,1.0,0.5,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,1.0,0.5,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,1.0,0.5,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,1.0,0.5,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,0.5,2.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,0.5,2.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,0.5,3.0,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,1.0,1.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,1.0,1.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,1.0,1.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,1.0,1.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,1.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,1.0,2.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,1.0,3.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,1.0,3.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,1.0,2.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,1.0,2.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,1.0,2.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,1.0,2.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,2.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,2.0,2.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,2.0,3.0,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,2.0,3.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,2.0,4.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,2.0,4.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,1.0,4.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,1.0,4.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,1.0,4.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,1.0,4.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,4.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,1.0,4.0,2.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,4.0,4.0,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,4.0,4.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,4.0,5.0,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,1.0,4.0,5.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,4.0,6.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,1.0,4.0,6.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,2.0,0.5,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,2.0,0.5,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,2.0,0.5,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,2.0,0.5,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,0.5,2.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,0.5,2.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,0.5,3.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,0.5,3.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,0.5,4.0,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,2.0,1.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,2.0,1.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,2.0,1.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,2.0,1.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,1.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,1.0,2.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,1.0,3.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,1.0,3.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,1.0,4.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,1.0,4.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,2.0,2.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,2.0,2.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,2.0,2.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,2.0,2.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,2.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,2.0,2.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,2.0,3.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,2.0,3.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,2.0,4.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,2.0,4.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,2.0,5.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,2.0,5.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,2.0,4.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,2.0,4.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,2.0,4.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,2.0,4.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,4.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,4.0,2.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,4.0,3.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,2.0,4.0,3.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,2.0,4.0,4.0,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,2.0,4.0,4.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,2.0,4.0,5.0,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,2.0,4.0,5.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,4.0,6.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,4.0,6.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,4.0,7.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,2.0,4.0,7.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,4.0,0.5,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,4.0,0.5,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,4.0,0.5,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,4.0,0.5,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,4.0,0.5,2.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,0.5,4.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,0.5,4.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,0.5,5.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,0.5,5.5,pH+OM,1.5231533486717235,pH+OM+P,1.5789601566637488,0.05580680799202531
1.0,0.5,4.0,0.5,6.0,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,4.0,1.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,4.0,1.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,4.0,1.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
1.0,0.5,4.0,1.0,1.5,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,4.0,1.0,2.0,pH+OM,1.5231533486717235,pH+OM,1.5231533486717235,0.0
1.0,0.5,4.0,1.0,2.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,4.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,4.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,5.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,5.5,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,6.0,pH+OM,1.5231533486717235,pH+OM+K,1.5355375091702554,0.012384160498531971
1.0,0.5,4.0,1.0,6.5,pH+OM,1.5231533486717235,pH+OM+P+K,1.5900503206379897,0.0668969719662662
1.0,0.5,4.0,2.0,0.0,none,1.5997873135441354,none,1.5997873135441354,0.0
1.0,0.5,4.0,2.0,0.5,none,1.5997873135441354,OM,1.6149032355374895,0.015115921993354098
1.0,0.5,4.0,2.0,1.0,pH,1.5231649525989268,pH,1.5231649525989268,0.0
